"STATION","DATE","AWND","PRCP"
"US1NCCR0153","2020-08-25",,"0.00"
"US1NCCR0153","2020-08-26",,"0.00"
"US1NCCR0153","2020-08-27",,"0.00"
"US1NCCR0153","2020-08-28",,"0.00"
"US1NCCR0153","2020-08-30",,"0.40"
"US1NCCR0153","2020-09-01",,"0.09"
"US1NCCR0153","2020-09-02",,"0.00"
"US1NCCR0153","2020-09-03",,"0.00"
"US1NCCR0153","2020-09-04",,"0.00"
"US1NCCR0153","2020-09-05",,"0.00"
"US1NCCR0153","2020-09-06",,"0.00"
"US1NCCR0153","2020-09-07",,"0.00"
"US1NCCR0153","2020-09-08",,"0.00"
"US1NCCR0153","2020-09-09",,"0.60"
"US1NCCR0153","2020-09-10",,"0.13"
"US1NCCR0153","2020-09-11",,"0.81"
"US1NCCR0153","2020-09-12",,"0.68"
"US1NCCR0153","2020-09-13",,"0.04"
"US1NCCR0153","2020-09-14",,"0.12"
"US1NCCR0153","2020-09-15",,"0.04"
"US1NCCR0153","2020-09-16",,"0.00"
"US1NCCR0153","2020-09-17",,"0.61"
"US1NCCR0153","2020-09-18",,"2.16"
"US1NCCR0153","2020-09-19",,"0.15"
"US1NCCR0153","2020-09-20",,"0.00"
"US1NCCR0153","2020-09-21",,"0.00"
"US1NCCR0153","2020-09-22",,"0.00"
"US1NCCR0153","2020-09-23",,"0.00"
"US1NCCR0153","2020-09-24",,"0.00"
"US1NCCR0153","2020-09-25",,"0.00"
"US1NCCR0153","2020-09-26",,"0.77"
"US1NCCR0153","2020-09-27",,"0.05"
"US1NCCR0153","2020-09-28",,"0.00"
"US1NCCR0153","2020-09-29",,"0.00"
"US1NCCR0153","2020-09-30",,"1.13"
"US1NCCR0153","2020-10-01",,"0.00"
"US1NCCR0153","2020-10-02",,"0.00"
"US1NCCR0153","2020-10-03",,"0.00"
"US1NCCR0153","2020-10-04",,"0.00"
"US1NCCR0153","2020-10-05",,"0.46"
"US1NCCR0153","2020-10-06",,"0.01"
"US1NCCR0153","2020-10-07",,"0.00"
"US1NCCR0153","2020-10-08",,"0.00"
"US1NCCR0153","2020-10-09",,"0.00"
"US1NCCR0153","2020-10-13",,
"US1NCCR0153","2020-10-14",,"0.00"
"US1NCCR0153","2020-10-15",,"0.00"
"US1NCCR0153","2020-10-16",,"0.00"
"US1NCCR0153","2020-10-17",,"0.13"
"US1NCCR0153","2020-10-19",,"0.00"
"US1NCCR0153","2020-10-20",,"0.00"
"US1NCCR0153","2020-10-21",,"0.00"
"US1NCCR0153","2020-10-22",,"0.00"
"US1NCCR0153","2020-10-23",,"0.00"
"US1NCCR0153","2020-10-24",,"0.00"
"US1NCCR0153","2020-10-25",,"0.85"
"US1NCCR0153","2020-10-26",,"0.35"
"US1NCCR0153","2020-10-27",,"0.00"
"US1NCCR0153","2020-10-28",,"0.00"
"US1NCCR0153","2020-10-29",,"0.00"
"US1NCCR0153","2020-10-30",,"0.00"
"US1NCCR0153","2020-10-31",,"0.00"
"US1NCCR0153","2020-11-01",,"0.00"
"US1NCCR0153","2020-11-02",,"0.56"
"US1NCCR0153","2020-11-03",,"0.00"
"US1NCCR0153","2020-11-04",,"0.00"
"US1NCCR0153","2020-11-05",,"0.00"
"US1NCCR0153","2020-11-06",,"0.06"
"US1NCCR0153","2020-11-07",,"0.00"
"US1NCCR0153","2020-11-08",,"0.00"
"US1NCCR0153","2020-11-09",,"0.00"
"US1NCCR0153","2020-11-10",,"0.10"
"US1NCCR0153","2020-11-11",,"0.00"
