Date,NRKDischargeMax,NRKDischargeMin,NRKDischargeMean,NRKGageHeightMax,NRKGageHeightMin,NRKGageHeightMean
07/16/2010,557,557,524,524,3.31,3.39
07/17/2010,493,493,441,3.31,3.17,3.23
07/18/2010,470,470,437,3.25,3.16,3.18
07/19/2010,523,523,470,3.39,3.25,3.35
07/20/2010,569,569,474,3.51,3.26,3.33
07/21/2010,709,709,569,3.86,3.51,3.72
07/22/2010,709,709,604,3.86,3.6,3.73
07/23/2010,604,604,523,3.6,3.39,3.5
07/24/2010,565,565,531,3.5,3.41,3.45
07/25/2010,596,596,554,3.58,3.47,3.55
07/26/2010,577,577,470,3.53,3.25,3.38
07/27/2010,470,470,441,3.25,3.17,3.2
07/28/2010,527,527,466,3.4,3.24,3.36
07/29/2010,821,821,485,4.13,3.29,3.54
07/30/2010,573,573,474,3.52,3.26,3.34
07/31/2010,542,542,474,3.44,3.26,3.32
08/01/2010,624,624,542,3.65,3.44,3.54
08/02/2010,937,937,624,4.4,3.65,4.09
08/03/2010,928,928,796,4.38,4.07,4.25
08/04/2010,796,796,664,4.07,3.75,3.89
08/05/2010,705,705,652,3.85,3.72,3.77
08/06/2010,750,750,668,3.96,3.76,3.88
08/07/2010,742,742,664,3.94,3.75,3.82
08/08/2010,,,"1,010",5.4,3.81,4.4
08/09/2010,"1,670","1,670","1,410",5.9,5.4,5.79
08/10/2010,"1,590","1,590","1,160",5.75,4.91,5.33
08/11/2010,"1,160","1,160",881,4.91,4.27,4.56
08/12/2010,881,881,713,4.27,3.87,4.05
08/13/2010,713,713,604,3.87,3.6,3.72
08/14/2010,604,604,531,3.6,3.41,3.5
08/15/2010,531,531,496,3.41,3.32,3.34
08/16/2010,534,534,504,3.42,3.34,3.39
08/17/2010,523,523,459,3.39,3.22,3.3
08/18/2010,459,459,419,3.22,3.11,3.16
08/19/2010,441,441,419,3.17,3.11,3.13
08/20/2010,589,589,441,3.56,3.17,3.33
08/21/2010,496,496,474,3.32,3.26,3.3
08/22/2010,656,656,489,3.73,3.3,3.41
08/23/2010,981,981,656,4.5,3.73,4.2
08/24/2010,"1,030","1,030",959,4.62,4.45,4.52
08/25/2010,981,981,881,4.5,4.27,4.34
08/26/2010,,,"1,330","1,330",4.34,5.03
08/27/2010,,,"2,460","2,460",6.1,7.08
08/28/2010,"3,110","3,110","2,710",8.54,7.82,8.21
08/29/2010,"3,370","3,370","3,110",8.98,8.54,8.77
08/30/2010,"3,440","3,440","3,330",9.1,8.92,9.05
08/31/2010,,,"2,630",8.92,6.99,8.09
09/01/2010,,,"1,650",6.99,5.35,6.07
09/02/2010,"1,380","1,380",946,5.35,4.42,4.83
09/03/2010,946,946,754,4.42,3.97,4.17
09/04/2010,754,754,656,3.97,3.73,3.85
09/05/2010,656,656,589,3.73,3.56,3.64
09/06/2010,589,589,546,3.56,3.45,3.5
09/07/2010,546,546,511,3.45,3.36,3.41
09/08/2010,511,511,466,3.36,3.24,3.31
09/09/2010,466,466,437,3.24,3.16,3.19
09/10/2010,437,437,415,3.16,3.1,3.12
09/11/2010,415,415,401,3.1,3.06,3.08
09/12/2010,404,404,397,3.07,3.05,3.06
09/13/2010,397,397,386,3.05,3.02,3.03
09/14/2010,390,390,379,3.03,3,3.02
09/15/2010,383,383,379,3.01,3,3
09/16/2010,383,383,379,3.01,3,3
09/17/2010,379,379,369,3,2.97,2.98
09/18/2010,369,369,348,2.97,2.91,2.94
09/19/2010,348,348,327,2.91,2.85,2.88
09/20/2010,327,327,313,2.85,2.81,2.83
09/21/2010,320,320,310,2.83,2.8,2.81
09/22/2010,317,317,313,2.82,2.81,2.81
09/23/2010,317,317,310,2.82,2.8,2.81
09/24/2010,317,317,307,2.82,2.79,2.81
09/25/2010,307,307,303,2.79,2.78,2.79
09/26/2010,448,448,307,3.19,2.79,2.84
09/27/2010,,,673,4.76,3.01,3.63
09/28/2010,,,"1,620",6.48,4.76,5.58
09/29/2010,,,"3,200",10.24,6.48,7.92
09/30/2010,,,"5,320",12.66,10.24,11.38
10/01/2010,,,"6,700",14.11,12.66,13.45
10/02/2010,"8,130","8,130","7,010",14.98,14.11,14.58
10/03/2010,"8,780","8,780","8,130",15.45,14.98,15.25
10/04/2010,"9,120","9,120","8,770",15.69,15.44,15.57
10/05/2010,"9,440","9,440","9,080",15.91,15.66,15.8
10/06/2010,"9,690","9,690","9,420",16.08,15.9,16
10/07/2010,"9,780","9,780","9,670",16.14,16.07,16.11
10/08/2010,"9,720","9,720","9,020",16.1,15.62,15.93
10/09/2010,,,"7,660",15.63,14.11,14.98
10/10/2010,,,"5,030",14.11,11.15,12.73
10/11/2010,,,"3,090",11.15,7.85,9.43
10/12/2010,,,"1,970",7.85,6,6.77
10/13/2010,"1,720","1,720","1,390",6,5.39,5.64
10/14/2010,"1,390","1,390","1,230",5.39,5.09,5.22
10/15/2010,"1,230","1,230","1,160",5.09,4.95,5.01
10/16/2010,"1,160","1,160","1,100",4.95,4.82,4.88
10/17/2010,"1,100","1,100","1,070",4.82,4.75,4.78
10/18/2010,"1,140","1,140","1,100",4.91,4.81,4.88
10/19/2010,"1,120","1,120","1,020",4.88,4.65,4.77
10/20/2010,"1,020","1,020",941,4.65,4.47,4.55
10/21/2010,941,941,894,4.47,4.36,4.41
10/22/2010,898,898,889,4.37,4.35,4.36
10/23/2010,889,889,787,4.35,4.11,4.24
10/24/2010,787,787,721,4.11,3.95,4.02
10/25/2010,737,737,705,3.99,3.91,3.94
10/26/2010,915,915,721,4.41,3.95,4.13
10/27/2010,968,968,915,4.53,4.41,4.5
10/28/2010,963,963,928,4.52,4.44,4.48
10/29/2010,990,990,915,4.58,4.41,4.45
10/30/2010,"1,070","1,070",990,4.75,4.58,4.71
10/31/2010,"1,060","1,060",994,4.73,4.59,4.66
11/01/2010,994,994,937,4.59,4.46,4.53
11/02/2010,937,937,868,4.46,4.3,4.37
11/03/2010,868,868,825,4.3,4.2,4.26
11/04/2010,902,902,808,4.38,4.16,4.26
11/05/2010,985,985,894,4.57,4.36,4.44
11/06/2010,998,998,972,4.6,4.54,4.58
11/07/2010,"1,040","1,040",968,4.69,4.53,4.56
11/08/2010,"1,130","1,130","1,040",4.89,4.69,4.83
11/09/2010,"1,120","1,120","1,020",4.88,4.66,4.78
11/10/2010,"1,020","1,020",950,4.66,4.49,4.57
11/11/2010,950,950,889,4.49,4.35,4.42
11/12/2010,889,889,838,4.35,4.23,4.28
11/13/2010,838,838,808,4.23,4.16,4.2
11/14/2010,808,808,771,4.16,4.07,4.12
11/15/2010,771,771,754,4.07,4.03,4.05
11/16/2010,754,754,742,4.03,4,4.02
11/17/2010,742,742,713,4,3.93,3.97
11/18/2010,713,713,696,3.93,3.89,3.9
11/19/2010,696,696,688,3.89,3.87,3.87
11/20/2010,721,721,688,3.95,3.87,3.89
11/21/2010,779,779,721,4.09,3.95,4.05
11/22/2010,779,779,762,4.09,4.05,4.07
11/23/2010,762,762,721,4.05,3.95,4
11/24/2010,721,721,684,3.95,3.86,3.9
11/25/2010,684,684,668,3.86,3.82,3.83
11/26/2010,668,668,660,3.82,3.8,3.81
11/27/2010,688,688,668,3.87,3.82,3.85
11/28/2010,746,746,688,4.01,3.87,3.93
11/29/2010,775,775,746,4.08,4.01,4.06
11/30/2010,775,775,750,4.08,4.02,4.06
12/01/2010,771,771,737,4.07,3.99,4.02
12/02/2010,775,775,746,4.08,4.01,4.06
12/03/2010,771,771,746,4.07,4.01,4.04
12/04/2010,754,754,746,4.03,4.01,4.01
12/05/2010,783,783,754,4.1,4.03,4.07
12/06/2010,796,796,783,4.13,4.1,4.12
12/07/2010,796,796,791,4.13,4.12,4.12
12/08/2010,791,791,779,4.12,4.09,4.1
12/09/2010,779,779,775,4.09,4.08,4.09
12/10/2010,775,775,754,4.08,4.03,4.05
12/11/2010,804,804,750,4.15,4.02,4.05
12/12/2010,876,876,804,4.32,4.15,4.2
12/13/2010,933,933,876,4.45,4.32,4.39
12/14/2010,950,950,933,4.49,4.45,4.47
12/15/2010,"1,050","1,050",950,4.72,4.49,4.57
12/16/2010,"1,160","1,160","1,050",4.96,4.72,4.87
12/17/2010,"1,160","1,160","1,120",4.96,4.88,4.93
12/18/2010,"1,120","1,120","1,080",4.88,4.79,4.82
12/19/2010,"1,290","1,290","1,080",5.21,4.79,4.91
12/20/2010,"1,550","1,550","1,290",5.7,5.21,5.52
12/21/2010,"1,550","1,550","1,460",5.7,5.53,5.64
12/22/2010,"1,460","1,460","1,310",5.53,5.25,5.38
12/23/2010,"1,310","1,310","1,170",5.25,4.99,5.12
12/24/2010,"1,170","1,170","1,070",4.99,4.77,4.87
12/25/2010,"1,070","1,070","1,020",4.77,4.65,4.71
12/26/2010,"1,020","1,020","1,010",4.65,4.62,4.63
12/27/2010,"1,010","1,010",998,4.62,4.6,4.61
12/28/2010,"1,000","1,000",994,4.61,4.59,4.6
12/29/2010,"1,030","1,030",990,4.67,4.58,4.6
12/30/2010,"1,090","1,090","1,030",4.8,4.67,4.74
12/31/2010,"1,110","1,110","1,090",4.85,4.8,4.84
01/01/2011,"1,110","1,110","1,110",4.86,4.85,4.85
01/02/2011,"1,120","1,120","1,110",4.88,4.86,4.87
01/03/2011,"1,140","1,140","1,120",4.91,4.88,4.9
01/04/2011,"1,180","1,180","1,140",5,4.91,4.94
01/05/2011,"1,350","1,350","1,180",5.32,5,5.16
01/06/2011,"1,410","1,410","1,350",5.44,5.32,5.41
01/07/2011,"1,400","1,400","1,310",5.42,5.25,5.34
01/08/2011,"1,310","1,310","1,210",5.25,5.06,5.15
01/09/2011,"1,210","1,210","1,140",5.06,4.91,4.97
01/10/2011,"1,140","1,140","1,100",4.91,4.83,4.87
01/11/2011,"1,100","1,100","1,070",4.83,4.77,4.8
01/12/2011,"1,070","1,070","1,040",4.77,4.69,4.72
01/13/2011,"1,040","1,040","1,020",4.69,4.65,4.66
01/14/2011,"1,100","1,100","1,020",4.82,4.65,4.72
01/15/2011,"1,120","1,120","1,100",4.88,4.82,4.86
01/16/2011,"1,110","1,110","1,020",4.84,4.64,4.74
01/17/2011,"1,020","1,020",976,4.64,4.55,4.58
01/18/2011,998,998,985,4.6,4.57,4.58
01/19/2011,"1,020","1,020",994,4.64,4.59,4.62
01/20/2011,994,994,972,4.59,4.54,4.55
01/21/2011,981,981,972,4.56,4.54,4.55
01/22/2011,981,981,976,4.56,4.55,4.55
01/23/2011,976,976,972,4.55,4.54,4.55
01/24/2011,972,972,941,4.54,4.47,4.51
01/25/2011,941,941,928,4.47,4.44,4.45
01/26/2011,968,968,937,4.53,4.46,4.48
01/27/2011,972,972,968,4.54,4.53,4.54
01/28/2011,968,968,959,4.53,4.51,4.52
01/29/2011,"1,060","1,060",959,4.74,4.51,4.59
01/30/2011,"1,130","1,130","1,060",4.9,4.74,4.86
01/31/2011,"1,130","1,130","1,060",4.89,4.73,4.82
02/01/2011,"1,060","1,060",998,4.73,4.6,4.67
02/02/2011,998,998,946,4.6,4.48,4.55
02/03/2011,946,946,919,4.48,4.42,4.44
02/04/2011,"1,020","1,020",919,4.65,4.42,4.48
02/05/2011,"1,470","1,470","1,020",5.55,4.65,5.02
02/06/2011,,,"1,900",6.78,5.55,6.16
02/07/2011,,,"2,630",8.14,6.78,7.41
02/08/2011,,,"3,400",9.24,8.14,8.76
02/09/2011,"3,680","3,680","3,520",9.5,9.24,9.43
02/10/2011,"3,650","3,650","3,240",9.45,8.75,9.17
02/11/2011,,,"2,770",8.75,7.62,8.19
02/12/2011,"2,600","2,600","2,110",7.62,6.71,7.13
02/13/2011,"2,110","2,110","1,780",6.71,6.11,6.4
02/14/2011,"1,780","1,780","1,560",6.11,5.72,5.9
02/15/2011,"1,560","1,560","1,390",5.72,5.41,5.56
02/16/2011,"1,390","1,390","1,260",5.41,5.16,5.27
02/17/2011,"1,260","1,260","1,190",5.16,5.02,5.08
02/18/2011,"1,190","1,190","1,140",5.02,4.92,4.96
02/19/2011,"1,140","1,140","1,100",4.92,4.82,4.87
02/20/2011,"1,100","1,100","1,060",4.82,4.74,4.78
02/21/2011,"1,060","1,060","1,020",4.74,4.66,4.71
02/22/2011,"1,020","1,020",972,4.66,4.54,4.6
02/23/2011,972,972,919,4.54,4.42,4.48
02/24/2011,919,919,898,4.42,4.37,4.39
02/25/2011,919,919,898,4.42,4.37,4.4
02/26/2011,902,902,881,4.38,4.33,4.36
02/27/2011,881,881,859,4.33,4.28,4.3
02/28/2011,919,919,855,4.42,4.27,4.29
03/01/2011,"1,070","1,070",919,4.76,4.42,4.53
03/02/2011,"1,160","1,160","1,070",4.97,4.76,4.92
03/03/2011,"1,490","1,490","1,160",5.59,4.96,5.16
03/04/2011,"1,750","1,750","1,490",6.06,5.59,5.93
03/05/2011,"1,730","1,730","1,540",6.03,5.68,5.88
03/06/2011,"1,540","1,540","1,400",5.68,5.42,5.53
03/07/2011,"1,400","1,400","1,330",5.42,5.3,5.33
03/08/2011,"1,720","1,720","1,370",6.01,5.36,5.59
03/09/2011,,,"2,280",7.5,6.01,6.79
03/10/2011,"2,720","2,720","2,530",7.84,7.5,7.75
03/11/2011,"2,650","2,650","2,270",7.72,7.02,7.37
03/12/2011,"2,270","2,270","2,160",7.02,6.82,6.88
03/13/2011,"2,570","2,570","2,240",7.57,6.97,7.29
03/14/2011,"2,600","2,600","2,500",7.63,7.45,7.58
03/15/2011,"2,500","2,500","2,100",7.45,6.7,7.1
03/16/2011,"2,100","2,100","1,750",6.7,6.06,6.35
03/17/2011,"1,750","1,750","1,540",6.06,5.69,5.87
03/18/2011,"1,540","1,540","1,390",5.69,5.41,5.54
03/19/2011,"1,390","1,390","1,270",5.41,5.18,5.3
03/20/2011,"1,270","1,270","1,170",5.18,4.98,5.07
03/21/2011,"1,170","1,170","1,110",4.98,4.85,4.92
03/22/2011,"1,110","1,110","1,030",4.85,4.67,4.76
03/23/2011,"1,030","1,030",946,4.67,4.48,4.57
03/24/2011,950,950,906,4.49,4.39,4.44
03/25/2011,906,906,898,4.39,4.37,4.38
03/26/2011,950,950,902,4.48,4.38,4.4
03/27/2011,"1,170","1,170",950,4.96,4.48,4.73
03/28/2011,"1,270","1,270","1,170",5.13,4.96,5.09
03/29/2011,"1,320","1,320","1,260",5.22,5.12,5.14
03/30/2011,"1,600","1,600","1,320",5.75,5.22,5.47
03/31/2011,,,"1,930",6.9,5.75,6.2
04/01/2011,,,"2,610",8.09,6.9,7.42
04/02/2011,,,"3,400",9.33,8.09,8.76
04/03/2011,"3,900","3,900","3,570",9.88,9.33,9.67
04/04/2011,"3,920","3,920","3,720",9.9,9.57,9.81
04/05/2011,,,"3,250",9.57,8.47,9.06
04/06/2011,"3,070","3,070","2,640",8.47,7.7,8.04
04/07/2011,"2,640","2,640","2,380",7.7,7.23,7.43
04/08/2011,"2,380","2,380","2,310",7.23,7.09,7.16
04/09/2011,"2,320","2,320","2,210",7.12,6.9,7.02
04/10/2011,"2,290","2,290","2,210",7.05,6.9,6.94
04/11/2011,"2,690","2,690","2,290",7.79,7.05,7.39
04/12/2011,,,"3,180",9,7.79,8.39
04/13/2011,"3,830","3,830","3,380",9.75,9,9.45
04/14/2011,"3,870","3,870","3,750",9.82,9.62,9.77
04/15/2011,,,"3,260",9.62,8.43,9.08
04/16/2011,,,"2,560",8.43,7.23,7.78
04/17/2011,"2,380","2,380","2,190",7.23,6.87,6.96
04/18/2011,"2,340","2,340","2,250",7.14,6.98,7.07
04/19/2011,"2,930","2,930","2,340",8.21,7.14,7.65
04/20/2011,"3,120","3,120","2,930",8.55,8.21,8.46
04/21/2011,"3,080","3,080","2,520",8.48,7.48,8.03
04/22/2011,"2,520","2,520","2,040",7.48,6.59,6.98
04/23/2011,"2,040","2,040","1,780",6.59,6.08,6.31
04/24/2011,"1,780","1,780","1,640",6.08,5.79,5.92
04/25/2011,"1,640","1,640","1,620",5.79,5.75,5.76
04/26/2011,"1,650","1,650","1,630",5.82,5.77,5.79
04/27/2011,"1,670","1,670","1,640",5.86,5.79,5.81
04/28/2011,"1,840","1,840","1,670",6.2,5.86,5.93
04/29/2011,"2,260","2,260","1,840",7,6.2,6.58
04/30/2011,"2,280","2,280","2,200",7.04,6.88,6.97
05/01/2011,"2,370","2,370","2,200",7.2,6.89,7.03
05/02/2011,"2,380","2,380","2,200",7.23,6.88,7.14
05/03/2011,"2,200","2,200","1,760",6.88,6.04,6.44
05/04/2011,"1,760","1,760","1,510",6.04,5.54,5.76
05/05/2011,"1,510","1,510","1,350",5.54,5.19,5.35
05/06/2011,"1,350","1,350","1,250",5.19,4.99,5.07
05/07/2011,"1,310","1,310","1,250",5.11,4.98,5.03
05/08/2011,"1,310","1,310","1,250",5.11,4.99,5.07
05/09/2011,"1,250","1,250","1,170",4.99,4.82,4.9
05/10/2011,"1,170","1,170","1,110",4.82,4.67,4.74
05/11/2011,"1,110","1,110","1,050",4.67,4.54,4.6
05/12/2011,"1,050","1,050",990,4.54,4.41,4.47
05/13/2011,990,990,954,4.41,4.33,4.36
05/14/2011,963,963,950,4.35,4.32,4.33
05/15/2011,"1,030","1,030",963,4.51,4.35,4.43
05/16/2011,"1,340","1,340","1,030",5.17,4.51,4.73
05/17/2011,"1,780","1,780","1,340",6.08,5.17,5.72
05/18/2011,"1,800","1,800","1,700",6.11,5.92,6.05
05/19/2011,"1,700","1,700","1,490",5.92,5.49,5.71
05/20/2011,"1,490","1,490","1,350",5.49,5.19,5.32
05/21/2011,"1,350","1,350","1,250",5.19,4.98,5.1
05/22/2011,"1,250","1,250","1,110",4.98,4.67,4.82
05/23/2011,"1,110","1,110","1,010",4.67,4.45,4.56
05/24/2011,"1,010","1,010",911,4.45,4.23,4.33
