#OTU_ID,PID126,PID127,PID129,PID130,PID131,PID132,PID133,PID134,PID135,PID136,PID137,PID140,PID141,PID142,PID143,PID144,PID145,PID146,PID147,PID149,PID207,PID232,PID238,PID239,PID240,PID241,PID242,PID243,PID244,PID245,PID246,PID247,PID248,PID249,PID250,PID251,PID252,PID253,PID255,PID256,PID257,PID258,PID259,PID260,PID261,PID262,PID263,PID264,PID265,PID266,PID267,PID268,PID269,PID270,PID271,PID272,PID273,PID274,PID275,PID276,PID277,PID278,PID279,PID280,PID281,PID282,PID283,PID284,PID285,PID290,PID299,PID300,PID301,PID302,PID303,PID304,PID306,PID309,PID467,PID468,PID469,PID470,PID471,PID472,PID473,PID474,PID475,PID476,PID477,PID478,PID481,PID484,PID485,PID486,PID487,PID488,PID489,PID490,PID491,PID492,PID493,PID494,PID495,PID496,PID497,PID498,PID525,PID526,PID527,PID528,PID529,PID530,PID531,PID532,PID533,PID534,PID535,PID536,PID537,PID538,PID539,PID540,PID541,PID542,PID544,PID545,PID546,PID547,PID548,PID549,PID550,PID551,PID552,PID553,PID554,PID555,PID556,PID560,PID561,PID562,PID563,PID564,PID565,PID566,PID567,PID568,PID569,PID570,PID571,PID572,PID573,taxonomy
OTU_1,60079.66128,91690.03495,73790.16666,144710.1652,95642.69715,156232.5767,350599.4135,249063.0773,193347.1933,184170.4806,255352.7999,133144.1205,453949.2353,141428.623,521826.7186,242451.7191,250880.6905,356363.2837,222547.8025,202595.2087,179032.6091,263594.1613,236440.1034,464705.538,536399.4937,399794.5418,320411.1869,547874.0563,359913.2173,382681.0101,404584.1368,154690.6466,283764.619,276849.964,110077.4345,52402.27943,196246.2768,39428.42413,358136.5351,452328.7461,184179.5571,346759.1754,268008.9349,339646.4113,667117.3103,708265.9992,334288.5906,339576.3235,681784.7087,538926.3239,566417.1464,1059505.262,675057.9052,630527.5275,731263.628,499845.3677,1094362.34,1268994.107,1238692.503,711539.6936,829727.1488,353492.1345,367885.2491,253378.745,937812.1108,188821.5954,158851.826,242947.2517,329244.8857,152648.9643,356306.6852,498190.8989,507556.8952,268485.5631,208447.6051,318010.8427,182774.4302,219281.3712,113167.6145,81684.34327,181771.2567,186467.2993,93640.50789,375650.0184,190117.2638,235669.5375,149306.9987,114704.9967,22934.77752,175176.2052,136700.3535,346607.9145,424714.1104,497324.2599,721196.5246,364756.1917,537467.3026,269457.9883,449771.7658,419904.732,587810.9042,599982.1645,600815.1226,191104.324,514946.2285,347860.6113,778771.2982,186203.2318,631816.9856,448429.7965,633600.4461,557647.7993,819373.3859,560479.5812,683047.2926,367248.4186,975475.7959,762368.6297,685721.38,267754.0058,173889.5808,89752.95539,89415.92812,124079.3932,45806.8532,240521.8783,15087.30252,159767.324,143830.343,319063.7689,282188.391,489873.9372,36705.92317,36264.30475,105763.4413,186287.2666,99714.80803,156010.829,325091.9848,233887.7664,125351.3817,125327.3301,213826.0564,164347.0739,376781.1186,254643.3954,132877.6021,80421.67493,237741.1668,249547.4645,331267.845,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_27197,114013.0656,182915.8166,147316.797,265799.7219,173750.8998,309248.6003,689846.084,494287.8537,457839.4578,442423.0196,590349.3991,162578.8744,531695.6719,150441.2314,476601.7364,237256.3252,265922.1799,484975.5966,342108.0582,342028.3817,474870.9593,431532.6417,441701.292,16551.15615,27201.45855,22845.40239,24015.63924,29472.95955,25032.13216,16374.62325,20406.65602,6299.619091,13589.63968,8540.358787,6068.907985,26075.77541,122736.704,30357.46765,196912.7012,257692.525,89010.43579,131613.6471,108823.2691,121473.9751,238579.5751,244008.4472,99250.0234,10298.09196,24571.52893,17875.11366,15223.76819,32330.73907,17525.54177,15739.23717,18023.32958,15872.10593,28103.80946,29901.14085,35425.81835,268796.8816,324720.6964,185960.3172,180039.019,128209.2873,478833.0827,68066.90996,53077.89379,123879.0442,151009.7822,68938.24192,137014.2146,172917.0527,173193.2299,91129.803,146394.0203,127701.8769,77942.18773,82091.84554,56948.86405,37211.75638,156055.5557,141133.5063,60832.15476,165636.0314,138815.7799,63027.89957,72347.59975,43825.96571,9580.350105,64628.11453,9209.667142,111176.1235,131857.5737,134068.8074,203144.6911,139690.8432,210740.068,73887.36613,139791.6703,123235.8839,180945.7235,196597.5524,189917.6186,61342.1287,138174.5023,89866.04862,230380.159,117416.3816,427722.897,280703.5974,463574.6383,405867.3063,502552.5991,400738.7407,414866.0346,225670.1149,617290.2054,291867.5979,475202.9955,317106.9688,251264.7188,55525.13342,164860.6175,268085.8838,96435.48042,320044.0169,27753.18612,208889.8147,191690.2656,512099.5679,305303.823,49621.65548,4078.435907,2621.516006,301156.9176,563286.6756,295857.1227,404420.9288,481459.3283,292009.5766,371746.5376,400366.9458,576032.727,599763.4566,981200.8296,711384.7236,183926.6243,75794.67445,296242.9198,287908.644,185338.9683,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_28023,20589.96064,31337.10055,20292.29583,46426.71343,32518.51703,59735.9852,109520.5787,87641.2027,103369.6034,79462.3197,139034.5363,17330.74295,77746.43662,13403.36624,30149.98819,19627.04393,39448.43437,116108.338,103382.1352,99509.99955,205105.3192,117730.0688,115621.8088,186306.6038,317460.9248,173482.2744,317675.228,327432.4684,281458.8518,121596.7393,141515.7233,33947.94733,143985.468,144474.4028,137492.1568,33096.17648,183001.3087,48741.27277,282516.0681,605777.9017,146646.436,207811.0217,153364.8863,148653.0836,245666.0971,340708.9711,91864.5778,72868.77729,141511.9482,63481.71206,69494.75862,87899.19685,71919.63067,48996.92964,49674.05469,28720.95359,52273.08559,90218.95945,93257.70984,48528.39363,105489.0904,97726.89342,93686.53288,57935.57754,432701.6028,22783.90292,16801.63544,87797.76917,77682.91681,25068.45161,34515.03115,167645.1914,94882.59501,57620.18934,135469.0934,114848.7659,158222.6411,114262.9742,60599.43226,34942.74684,157464.6352,249335.8612,140460.7618,390025.9758,268304.0174,200501.7965,114718.5048,115787.1193,29031.36395,114289.7183,88665.61896,208727.7221,248711.6598,336140.4128,415055.0646,152879.9279,204329.7237,73425.57009,82839.5083,89725.57139,136392.3049,150045.4897,171989.0618,51349.74575,77144.94353,54067.76002,176023.6496,45605.93364,192723.1322,118081.1001,283376.3463,184017.0578,204304.9934,257360.2431,140758.1189,127800.5493,338526.6668,492549.9284,256233.1431,37723.8165,32389.59266,6845.564394,44009.40212,75722.97016,30859.35373,72678.02012,7264.25677,36245.72127,106995.743,122477.8863,175617.2433,323100.4034,28549.05135,21845.96672,71255.87782,108851.942,84374.06833,72897.91713,194389.7979,112042.0438,103813.3436,101509.4664,146123.8749,148325.8182,241952.581,165989.7688,64061.51813,46049.6714,90615.48136,90508.40788,91461.15586,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_35,26582.56113,33890.49393,29516.06666,41539.69096,41763.97775,94505.39198,136232.915,147134.8658,91651.59165,180031.8181,131644.9054,73449.33918,82886.69689,30042.02777,32855.75636,48490.34383,92803.15135,189792.4756,249774.3954,396848.2617,531535.6492,324623.3514,375879.1387,163389.6184,211640.6166,99948.63546,169629.4519,207521.9344,150498.0629,67317.89559,65212.57468,16099.02657,64065.44421,27400.31778,39343.26556,13288.61632,62913.59829,18746.64337,63640.98707,39000.14169,30793.42753,33209.01621,38720.83762,23111.48688,39763.26252,38727.72823,29023.50554,9646.313988,16347.58863,13531.6281,18942.55126,16670.53733,14409.8899,13686.29319,10330.445,7810.08387,6182.838081,12115.11741,27856.19904,15755.97196,21407.32153,75668.53748,58672.37413,86009.29875,82335.93252,117052.3012,147778.0208,189426.6938,154639.8251,189580.1653,179199.2526,110181.9025,91308.25067,50673.07432,132410.1139,65924.02085,88854.09402,34759.61027,29934.65931,18605.87819,62351.7683,138139.7653,109019.4234,101881.7853,112753.5288,43388.77144,63412.23883,27594.12656,24676.65936,45239.68017,31782.38073,28883.99288,31161.08962,28621.43079,40102.99727,21272.71724,29447.519,19857.22965,19206.74083,25303.70535,34465.85209,33565.43578,26475.89194,20401.1152,32678.41902,24441.59015,47752.44751,17133.72093,42859.7586,39669.68194,40689.9369,44549.14173,40914.83399,65449.37218,46302.01279,27555.50877,123851.2196,109123.3529,120241.34,90196.79434,55127.74104,27889.33642,66363.38415,92993.12125,34234.59555,48560.65022,8568.097729,18599.77802,57632.36742,54138.77581,83455.71564,117524.9735,14274.52568,14855.25737,90526.33534,164162.8882,112316.1299,96113.81431,99333.66201,75278.24816,53845.09524,78825.78678,60931.96329,58916.87553,53100.28019,76258.28666,24773.79021,14982.66821,35847.88274,43755.72037,40897.26482,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_4396,9219.385363,19034.387,12122.67024,31222.64353,20084.9664,48095.12655,87148.99706,61626.05251,54405.0544,50905.54856,63496.08743,20906.92801,52045.13526,10399.16346,25898.06678,13277.11795,19014.71297,37065.35407,27621.18117,50648.80216,69179.59071,48044.256,68853.4367,98033.77103,179463.2814,108515.6614,185437.2144,223671.5013,211552.0437,145855.4404,121552.6902,34647.905,117776.8772,55156.48383,42063.81052,9527.68717,63575.84669,17900.02077,89097.3819,73626.43571,39276.1453,54193.85468,67571.65781,39381.97365,103345.113,85058.44606,46256.21195,23072.94021,98787.57548,45773.65554,51249.47919,80826.84768,55043.18304,44754.17875,44398.93383,33759.71737,59017.99986,69597.483,91441.00121,45062.0798,42814.64305,41603.73463,29099.60491,25927.95908,48467.25106,6265.573302,4964.119563,13229.80083,22869.2699,10743.62212,18826.38063,31103.98205,68562.4231,38413.45956,70356.52918,72557.88458,84567.27369,77284.6654,44536.93214,24051.50107,123998.9968,74843.52608,59123.38637,110007.3265,131957.2928,84493.92334,87047.70966,39497.47527,14515.68198,46940.42003,65189.99683,65125.22923,94637.3833,45622.13029,66838.32878,48927.24966,68510.55441,28169.55834,43089.90553,52522.28569,63887.92094,98098.98194,50658.59639,24425.825,51778.13425,39748.44458,77470.72601,27968.27975,87760.45808,81659.22833,99908.32722,77233.43667,126782.1501,109544.5,103716.5086,37057.40835,136039.7523,108749.6428,89124.57151,18152.81396,17667.05054,3803.09133,19326.8803,33477.52365,12295.52375,34546.50284,2421.418923,26707.37357,68908.2654,55913.81764,92161.5277,182070.4352,12235.30772,19661.37004,35852.014,76992.83704,38351.84924,44110.20463,77470.75076,69326.01459,31876.29638,60395.29707,66009.6269,75971.76056,84960.4483,64401.8746,28777.6351,17626.66848,44560.90979,35763.80797,36435.74502,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_28601,6453.569754,12302.71355,5797.798809,23349.10734,20084.9664,33084.54565,78467.48778,80177.83994,57753.05775,59803.6729,109749.7028,26683.84232,56221.59673,7626.053203,18553.83889,7793.090973,11068.26576,19202.53283,10259.29586,20259.52087,50059.60333,28999.68605,49366.61499,86150.8897,180126.7316,96379.04134,210060.8445,175222.8006,195372.7388,72169.63581,64325.32877,12599.23818,60829.81571,34517.28343,37459.81136,4513.114975,54966.61745,22979.75639,57651.24711,63785.27846,28120.79042,25467.03697,36443.14129,18674.0814,40747.50169,35639.01371,12179.50679,4692.801399,18453.71968,9355.199672,8134.837966,9934.966694,9866.230922,7390.598325,8132.477979,2771.320083,8431.142838,10826.27513,14230.88429,10714.06093,8253.425167,26246.65138,11592.52553,9655.929589,15766.45516,1139.195146,2291.132106,1202.709167,7986.094252,3357.381912,7321.370243,10016.53659,26645.1123,20841.34508,55061.63153,46851.66261,86905.53932,63602.69114,35410.51162,18152.07628,98635.56568,58164.11169,35200.62888,62504.16279,99310.89395,40648.42798,48423.89147,13256.00197,4354.704593,12585.47493,22933.877,27249.04989,40682.53367,25608.64861,34405.30367,21556.35347,23638.14451,10852.2069,9853.893124,19148.74999,22907.18218,30768.31613,10840.52268,9576.033666,15816.95167,13825.54594,40132.3761,22928.95006,63852.29342,77251.48589,101724.8423,99396.07502,160698.394,174993.8722,115569.8239,36582.31337,112449.0438,144999.5237,98344.35477,18152.81396,10469.36328,2281.854798,16998.3405,45168.08746,20733.62829,43346.08375,6146.678806,21938.19972,83441.64501,47926.12941,96664.53394,157073.0598,13050.9949,9175.306021,41677.96627,85842.58842,31777.24651,35288.16371,52280.87474,61623.12408,37045.42553,61245.93505,72215.66019,93026.64558,73416.90913,56856.8851,17516.82136,13220.00136,21907.03945,18980.79194,14499.93934,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_9216,5685.28764,9517.193501,7379.016666,18733.58612,11795.93265,25272.91682,44409.25904,36037.38018,33061.53306,24625.04178,39411.36461,15680.19601,35339.28937,7857.145724,40199.98425,25688.33691,28380.16861,38851.63619,35907.53552,29197.54478,42063.97224,34626.49081,32911.07666,58565.62945,92551.3041,47475.60184,124638.1277,121525.4908,122413.2317,53065.90869,31053.60699,12949.21702,32679.8478,29535.40747,30763.0853,6518.943853,35319.91483,9917.579074,76119.61199,54673.09582,37184.51626,44210.77618,42516.99817,37348.16281,67715.65498,71278.02742,37704.64336,32979.96539,63585.09934,32743.19885,57873.56153,102549.063,75035.28254,53102.81759,61762.8733,36531.03746,67449.1427,105942.8352,115663.783,61763.41007,58805.65432,29876.50742,34777.5766,33080.49952,103941.8155,14239.93932,16037.92474,10223.02792,21780.25705,13877.17857,30331.39101,62735.15023,54265.04577,29014.42158,34522.76897,62192.4725,47544.73452,46962.45218,25553.97746,12252.65149,35226.98774,32503.47418,25289.7722,70004.66232,56239.59464,15985.33685,36894.3935,19748.73764,4645.018233,22449.7661,4695.124425,28611.50238,46164.57722,53799.68195,85903.68813,35879.98309,49479.84485,12468.49303,44259.01149,26397.91963,69982.49235,59338.89539,56495.80091,12768.04489,19099.71523,31601.24787,66294.62128,17889.62038,67059.48624,41525.5735,87556.02495,82606.19748,111169.9108,75987.83041,74453.63656,19953.98911,85319.72902,47087.47419,72989.95081,22123.74201,16358.38013,3042.473064,14204.09275,20989.87594,5303.951423,21510.08667,745.0519764,16692.10848,18793.16329,33282.03431,23415.63244,15669.99647,10603.93336,4806.112678,3137.051225,6194.825968,3835.184924,3250.225605,5228.087474,6652.496349,6892.172191,5103.827921,5077.663607,9561.071907,11543.53917,7544.989492,3002.883662,1101.66678,3734.154452,3995.956198,5948.693064,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_27,7068.195445,12766.96689,12122.67024,27693.12731,20084.9664,11794.02785,64109.60704,77405.73377,313875.3139,67460.19849,244952.5787,18156.01643,76461.37155,18256.30918,18553.83889,12411.21896,14757.68768,13397.11593,11443.06077,7150.419129,3823.997476,8223.791568,3897.364341,3395.108954,3317.251043,0,303.9954335,1211.217516,305.2699044,606.4675279,23068.39376,8399.492122,7441.945539,58359.11838,15067.63362,11533.51605,22737.19517,1572.299122,35439.29476,94037.72481,16965.43554,27300.66363,4049.237921,25699.97342,25393.37062,60823.91673,7774.153269,29590.71994,6719.560972,10190.48536,7321.354169,17175.70513,14799.34638,9717.268168,30551.7416,14612.41498,50586.85703,56966.82868,55106.82854,19537.40523,41525.04537,24571.3332,33121.50152,3039.829686,247591.7403,9398.359953,7255.251669,97419.4425,26862.31703,6938.589284,12899.5571,120198.4391,7798.569453,8173.076503,1310.991227,5804.630766,0,1848.91544,730.1136417,907.6038141,2113.619264,56881.07982,6151.566212,116257.7428,4115.092291,83580.47552,6052.986433,55999.84508,2032.195477,28572.42958,4514.542717,59675.41925,32315.20405,49495.70739,50840.95828,9643.631818,17428.12349,12468.49303,13862.25643,8069.830354,34886.16736,8591.153205,109030.6416,15266.14063,43272.79231,74065.42469,171451.6067,55936.5595,191265.3173,77483.47234,301178.1937,177077.2418,187885.2245,128680.1216,64081.9857,62237.44223,77849.338,109870.7731,71453.32027,20138.27798,5234.681642,1521.236532,465.7079589,531.3892643,1205.443505,651.8208083,0,4292.256466,0,10650.25098,6004.008319,2984.761232,4078.435907,6116.87068,19718.6077,26991.74172,36160.315,23680.21512,55607.8395,4901.839415,60737.26744,9357.017855,25388.31804,4134.517581,124670.2231,29102.10233,11260.81373,12118.33458,24147.53212,25973.71529,28999.87869,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_24,11524.2317,14856.10693,13967.4244,21720.09985,14665.21356,10262.33592,30719.1867,49044.95528,163633.6636,41800.49109,278342.7626,10728.55516,84814.2945,12710.08867,4251.921411,4040.861986,4824.628663,4019.134778,13021.41398,4766.946086,4519.269745,7358.129297,3897.364341,1697.554477,5971.051878,3569.594124,1519.977167,4037.391719,1526.349522,303.2337639,43031.42683,4899.703738,15531.01678,37008.22141,16532.54244,7271.129682,21854.1973,2056.083467,57651.24711,146888.3841,18940.86297,30356.70807,5061.547401,41046.00071,47046.63239,126162.1085,13604.76822,32197.83182,6619.269017,5679.942658,7669.990082,26605.50403,24535.75848,11085.89749,31430.92841,11085.28033,16300.20949,52326.99648,26947.84473,12919.897,62158.60829,22337.57564,36433.65168,4649.151284,278540.7079,8828.76238,7255.251669,98020.79708,37026.43699,7610.065667,13945.46713,125470.3005,12672.67536,5721.153552,1310.991227,1243.84945,1948.554693,739.5661761,0,907.6038141,352.2698774,36352.56981,5468.058855,98756.57721,7132.826637,74902.72123,6341.223883,45719.68028,1161.254558,18708.13842,4695.124425,42781.00832,20774.05975,47774.11757,58510.93044,10352.72239,17227.80023,10621.30888,7181.650921,4376.857141,22276.70928,4195.679472,82763.22126,9437.250569,11489.67244,12838.00695,126493.1854,18393.55335,149280.2476,41989.54639,240506.5913,95366.50441,63256.48676,135335.9899,35189.52972,97869.56564,114414.9362,245527.544,120241.34,21840.10429,4416.762635,0,698.5619384,797.0838964,241.088701,651.8208083,0,0,1754.028574,32394.5134,7505.010399,2984.761232,1631.374363,7864.548018,18374.15717,41151.34393,40543.38348,34823.84576,75569.62804,9453.547444,71075.52572,14460.84578,19746.46958,7235.405767,90039.60554,18593.00982,3002.883662,2203.33356,9957.745205,17582.20727,9852.522888,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
OTU_1403,2458.502763,7660.180135,5270.72619,7873.536195,7970.224762,13632.05816,29383.56989,26015.15019,21762.02176,36834.09611,43790.40512,7152.370108,24094.97003,5084.035469,11209.61099,13277.11795,18163.30791,74577.27866,52085.65591,60778.5626,131754.0949,74014.12411,72317.76056,34799.86677,55729.81752,31769.3877,63839.04103,68635.65923,45485.21575,18497.2596,19519.41011,3499.788384,15531.01678,15657.32444,16323.26975,4763.843585,23620.19304,6410.142573,43425.61471,51757.19738,20916.2904,28726.81771,24042.35016,25884.86531,45668.69755,61061.51016,21508.49071,13426.62623,32193.71749,19545.68503,16850.73579,34183.021,26742.67855,11359.62335,18243.12628,10833.34214,17705.39996,40985.18444,27553.41427,14810.61364,29402.82716,21779.13625,30992.26214,29146.60228,77664.39025,13670.34175,12983.08193,33074.50208,30129.35559,26411.40437,33469.12111,43756.44932,34118.74136,9399.037978,31463.78944,23218.52307,26110.63289,11833.05882,8761.3637,1361.405721,24658.89142,42767.72919,41352.19509,38127.5393,37035.83062,19182.40422,17294.24695,12444.41002,6096.586431,13946.06682,7945.595182,20436.78741,35489.01874,41318.15573,41856.13376,25243.62446,40665.62148,11544.90096,18538.68028,23115.27678,29632.22649,35163.78986,29394.4942,8188.2027,20741.097,11109.8137,44196.41418,6803.095074,55980.09286,26446.45463,78110.14674,45220.73683,36069.65628,42985.81647,27410.79157,25655.12886,88071.97835,70631.21128,59544.43355,15316.43677,15049.70972,4056.630752,14669.80071,35071.69144,8920.281939,17925.07223,1117.577965,7153.760777,17540.28574,19525.46013,34523.04783,53352.60703,4894.123089,873.8386686,13892.65542,42921.29421,18628.04106,19037.03568,33744.92824,22408.40876,18953.47353,23534.31764,20874.83927,34109.77005,40633.25788,41497.44221,10259.85251,9474.334307,21907.03945,19180.58975,15987.11261,k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rickettsiales: f__Pelagibacteraceae: g__: s__
